parameter,lbci,posterior.median,ubci
"psi[1,1]",0.019523297,0.233055925,0.749096176
"psi[1,10]",0.020076708,0.145070833,0.593364766
"psi[1,11]",0.009899675,0.258180682,0.738989244
"psi[1,12]",0.014672059,0.159656301,0.762539822
"psi[1,13]",0.010974746,0.119747427,0.492198809
"psi[1,14]",0.007695759,0.113770822,0.805122107
"psi[1,15]",0.015222423,0.126520483,0.439516129
"psi[1,16]",0.018131819,0.17244921,0.564946081
"psi[1,17]",0.019550079,0.198481863,0.619578293
"psi[1,18]",0.004914037,0.102434968,0.48988666
"psi[1,19]",0.012391926,0.158727281,0.533467326
"psi[1,2]",0.011997658,0.117745528,0.439657379
"psi[1,20]",0.004667531,0.117298352,0.515259332
"psi[1,21]",0,0.032408818,0.999924522
"psi[1,22]",0.012762931,0.214092793,0.54662448
"psi[1,23]",0.002770455,0.112851627,0.4581127
"psi[1,24]",0.015406818,0.190635208,0.629964115
"psi[1,25]",0.012962263,0.109998557,0.474419441
"psi[1,26]",0.018410592,0.1414968,0.788255195
"psi[1,27]",0.000130503,0.119219018,0.958615647
"psi[1,28]",0.024657119,0.178165678,0.592173756
"psi[1,29]",0.003267823,0.146666252,0.426492062
"psi[1,3]",0.008885817,0.145927287,0.658205633
"psi[1,30]",0.020475719,0.182662349,0.782829351
"psi[1,31]",0.002488423,0.135073135,0.525383431
"psi[1,32]",0.032299814,0.239618118,0.563435117
"psi[1,33]",0.015334685,0.11114993,0.360754751
"psi[1,34]",0.005072157,0.230766538,0.781927454
"psi[1,35]",0.003102692,0.139552393,0.561962887
"psi[1,36]",0.00799514,0.176709427,0.628412572
"psi[1,37]",0.003772926,0.155772721,0.538057377
"psi[1,38]",0.020858331,0.120643559,0.469204232
"psi[1,39]",0.006102233,0.152990563,0.550315248
"psi[1,4]",0.003442041,0.128690169,0.593134896
"psi[1,40]",0.005901555,0.219122891,0.709215327
"psi[1,41]",0.032818889,0.224306678,0.593185384
"psi[1,42]",0.006879765,0.218985304,0.75909328
"psi[1,43]",0.015106108,0.132870676,0.46602861
"psi[1,44]",0.016093473,0.170846427,0.480712157
"psi[1,45]",0.003652024,0.08357809,0.57759169
"psi[1,46]",0.022508767,0.227460715,0.647509932
"psi[1,47]",0.001334922,0.08014337,0.434166003
"psi[1,48]",0.022818653,0.204785842,0.541970973
"psi[1,49]",0.006373251,0.095720508,0.421651302
"psi[1,5]",0,0.000200589,0.999995536
"psi[1,50]",0.007636331,0.225836953,0.781300163
"psi[1,6]",0.00728985,0.128522194,0.413956825
"psi[1,7]",0.026563489,0.185011016,0.512387042
"psi[1,8]",0.002306293,0.123094084,0.554131147
"psi[1,9]",0.020144289,0.235285713,0.644714179
"psi[10,1]",0.000408811,0.051664809,0.294094179
"psi[10,10]",0.002125724,0.080721855,0.307171041
"psi[10,11]",0.040709965,0.274353381,0.653049878
"psi[10,12]",0.083302383,0.386400211,0.742152386
"psi[10,13]",0.144687435,0.424211876,0.80266965
"psi[10,14]",0.030368633,0.258914115,0.692404312
"psi[10,15]",0.002010591,0.122313013,0.460715153
"psi[10,16]",0.030724763,0.244577797,0.571292217
"psi[10,17]",0.013095951,0.215863533,0.618458171
"psi[10,18]",0.122436527,0.585762112,0.943292269
"psi[10,19]",0.082234973,0.385237658,0.805406523
"psi[10,2]",0.152652064,0.396831625,0.73798732
"psi[10,20]",0.21935766,0.629769366,0.937825306
"psi[10,21]",0,0.002431514,0.518697777
"psi[10,22]",0.000915442,0.071216057,0.329616047
"psi[10,23]",0.236994428,0.561139526,0.920162293
"psi[10,24]",0.00132957,0.053624758,0.217877204
"psi[10,25]",0.00798645,0.14443331,0.430962839
"psi[10,26]",0.088922733,0.340345091,0.777157784
"psi[10,27]",0,0.088622723,0.822663212
"psi[10,28]",0.012020864,0.204612692,0.456032823
"psi[10,29]",0.271113261,0.689402481,0.975853614
"psi[10,3]",0.164235199,0.422258265,0.77987036
"psi[10,30]",0.063618152,0.343671255,0.669690846
"psi[10,31]",0,0.002690337,0.049434356
"psi[10,32]",0,0.021083605,0.356120636
"psi[10,33]",0,0.00336006,0.171118566
"psi[10,34]",0,0.022320986,0.454611948
"psi[10,35]",0,0.005506104,0.071835791
"psi[10,36]",0,0.001394131,0.241047286
"psi[10,37]",0.000377505,0.033934393,0.171988731
"psi[10,38]",0.000228889,0.037465477,0.34449777
"psi[10,39]",0,0.013978372,0.091411873
"psi[10,4]",0.277991264,0.779203521,0.978747355
"psi[10,40]",0,0.007643892,0.125015282
"psi[10,41]",0,0.023675419,0.335996208
"psi[10,42]",0,0.011545867,0.146017095
"psi[10,43]",0,0.01996071,0.16059066
"psi[10,44]",0.000346553,0.037036076,0.249647355
"psi[10,45]",0,0.008035218,0.129853431
"psi[10,46]",0.000270556,0.049718634,0.300075115
"psi[10,47]",0,0.001241198,0.033167226
"psi[10,48]",0,0.005144285,0.257927148
"psi[10,49]",0,0.00579358,0.102261944
"psi[10,5]",0,0.5,0.982337591
"psi[10,50]",0,0.008669463,0.127084194
"psi[10,6]",0.030104882,0.186939873,0.511461827
"psi[10,7]",0.003946764,0.11163399,0.332348337
"psi[10,8]",0.225581945,0.794739212,0.984274787
"psi[10,9]",0.000317452,0.047205117,0.302166872
"psi[11,1]",0.092853167,0.509570835,0.810681356
"psi[11,10]",0.14385298,0.478318575,0.76214657
"psi[11,11]",0.195496563,0.670724637,0.930007594
"psi[11,12]",0.552226017,0.8807083,0.980256871
"psi[11,13]",0.292843328,0.60099633,0.841520689
"psi[11,14]",0.428989504,0.79741924,0.9859131
"psi[11,15]",0.058254454,0.283041396,0.54051827
"psi[11,16]",0.336047043,0.614252967,0.827177079
"psi[11,17]",0.128199798,0.411535525,0.679922988
"psi[11,18]",0.287694664,0.709408955,0.957612714
"psi[11,19]",0.244164732,0.555445854,0.820201165
"psi[11,2]",0.352281228,0.603214222,0.872978884
"psi[11,20]",0.381400275,0.722398154,0.953669286
"psi[11,21]",0,0.001341728,0.69718876
"psi[11,22]",0.040141506,0.190938169,0.527558597
"psi[11,23]",0.36708771,0.694395036,0.944930153
"psi[11,24]",0.087407415,0.322276851,0.678019546
"psi[11,25]",0.120438577,0.361059761,0.621312373
"psi[11,26]",0.373537473,0.741003654,0.955427007
"psi[11,27]",0.314379363,0.938215002,0.998917334
"psi[11,28]",0.266142839,0.616769535,0.77910045
"psi[11,29]",0.391698593,0.776047863,0.962383698
"psi[11,3]",0.348664024,0.665895864,0.907167957
"psi[11,30]",0.551124702,0.872340899,0.980828554
"psi[11,31]",0.000736691,0.034604113,0.413543191
"psi[11,32]",0.00262443,0.130099455,0.450448712
"psi[11,33]",0.00030602,0.032465549,0.280740376
"psi[11,34]",0.003248916,0.127791738,0.749738259
"psi[11,35]",0.00317006,0.058238999,0.541056254
"psi[11,36]",0,0.016096437,0.356449366
"psi[11,37]",0.026405349,0.234310328,0.692973778
"psi[11,38]",0.001784607,0.10634843,0.381624355
"psi[11,39]",0.010898858,0.127004284,0.640592636
"psi[11,4]",0.421581306,0.815927364,0.981083552
"psi[11,40]",0.007171091,0.113080511,0.654500971
"psi[11,41]",0.005041028,0.134589063,0.454046944
"psi[11,42]",0.011920065,0.191138842,0.774679371
"psi[11,43]",0.005481858,0.082122132,0.39421882
"psi[11,44]",0.02295406,0.276469504,0.622465164
"psi[11,45]",0.000495417,0.045661339,0.447290438
"psi[11,46]",0.033961787,0.320321762,0.624443855
"psi[11,47]",0,0.013809829,0.342065688
"psi[11,48]",0.000351171,0.038705007,0.365089094
"psi[11,49]",0.001216981,0.054568788,0.361665236
"psi[11,5]",0,0.001382052,0.682593326
"psi[11,50]",0.003826287,0.123247957,0.679182442
"psi[11,6]",0.308437442,0.626169547,0.830134559
"psi[11,7]",0.127907136,0.472044875,0.710294724
"psi[11,8]",0.398433345,0.808879592,0.985648749
"psi[11,9]",0.051131037,0.347126478,0.646648501
"psi[12,1]",0.336461587,0.613828146,0.884277642
"psi[12,10]",0.379787292,0.575005824,0.80334985
"psi[12,11]",0.318591587,0.74115918,0.973458197
"psi[12,12]",0.5387505,0.757771336,0.942461971
"psi[12,13]",0.334212889,0.621501666,0.796960667
"psi[12,14]",0.270796847,0.618268661,0.912552296
"psi[12,15]",0.257504703,0.523053529,0.769648241
"psi[12,16]",0.357692643,0.643179764,0.878785684
"psi[12,17]",0.324173174,0.603969432,0.849849955
"psi[12,18]",0.23236718,0.626027664,0.85018704
"psi[12,19]",0.326446856,0.638999008,0.820979307
"psi[12,2]",0.391352475,0.62735537,0.819578454
"psi[12,20]",0.355691549,0.666790764,0.879081541
"psi[12,21]",0,0.005358024,0.386795963
"psi[12,22]",0.168044708,0.568723764,0.845552413
"psi[12,23]",0.315539364,0.626424146,0.87559886
"psi[12,24]",0.250401204,0.508276574,0.751684289
"psi[12,25]",0.279322445,0.519013479,0.738425634
"psi[12,26]",0.358280864,0.674396385,0.899844264
"psi[12,27]",0.061548381,0.905143828,0.999336685
"psi[12,28]",0.465905294,0.685991704,0.879106627
"psi[12,29]",0.400416099,0.760595074,0.943670527
"psi[12,3]",0.357268568,0.60962925,0.811007911
"psi[12,30]",0.505516918,0.748886879,0.948437112
"psi[12,31]",0.043400603,0.23730613,0.651447471
"psi[12,32]",0.080401592,0.392085692,0.717825782
"psi[12,33]",0.031329159,0.217647499,0.593006863
"psi[12,34]",0.184319569,0.752098108,0.996116027
"psi[12,35]",0.067269396,0.305918636,0.682652767
"psi[12,36]",0.013316515,0.236506774,0.649250235
"psi[12,37]",0.166272726,0.460352947,0.768568512
"psi[12,38]",0.122835359,0.393550221,0.81548357
"psi[12,39]",0.132211457,0.39230414,0.721271298
"psi[12,4]",0.356536865,0.683560554,0.914201529
"psi[12,40]",0.121244279,0.386991182,0.71752731
"psi[12,41]",0.090204516,0.363588016,0.652901114
"psi[12,42]",0.177225069,0.451510608,0.770593968
"psi[12,43]",0.112065785,0.380259508,0.675340372
"psi[12,44]",0.246297522,0.532463317,0.743094423
"psi[12,45]",0.074501968,0.324530333,0.750481316
"psi[12,46]",0.281924764,0.549633565,0.794961033
"psi[12,47]",0.012652808,0.142855838,0.681067147
"psi[12,48]",0.027524336,0.281647308,0.638067482
"psi[12,49]",0.071483199,0.297232149,0.642689475
"psi[12,5]",0,0.003458361,0.999002754
"psi[12,50]",0.083523081,0.326180837,0.73619788
"psi[12,6]",0.380341589,0.637373444,0.870493096
"psi[12,7]",0.355569861,0.609945069,0.817912006
"psi[12,8]",0.374040047,0.711159972,0.920533754
"psi[12,9]",0.298180133,0.562020464,0.811011371
"psi[13,1]",0.452961408,0.758345293,0.953788425
"psi[13,10]",0.445759141,0.66779649,0.902315752
"psi[13,11]",0.444130202,0.803587271,0.98810737
"psi[13,12]",0.60308739,0.872610511,0.993573648
"psi[13,13]",0.360926296,0.682093534,0.986562744
"psi[13,14]",0.49495793,0.857572059,0.99614386
"psi[13,15]",0.26057574,0.552410935,0.939418766
"psi[13,16]",0.41646768,0.688253027,0.955289696
"psi[13,17]",0.356131077,0.687019723,0.982303014
"psi[13,18]",0.315746859,0.714619202,0.992648536
"psi[13,19]",0.37777532,0.693056903,0.98922007
"psi[13,2]",0.377366158,0.686079911,0.984918127
"psi[13,20]",0.353861731,0.725753794,0.992927681
"psi[13,21]",0,0.002037623,0.62880038
"psi[13,22]",0.212627393,0.504037412,0.809717178
"psi[13,23]",0.416211053,0.713831643,0.992359522
"psi[13,24]",0.263214295,0.519815503,0.813644295
"psi[13,25]",0.311619028,0.616507246,0.951039033
"psi[13,26]",0.506462604,0.823014125,0.99667842
"psi[13,27]",0.000265032,0.375211079,0.978747207
"psi[13,28]",0.448913643,0.748135285,0.966431073
"psi[13,29]",0.374891842,0.703435988,0.987169163
"psi[13,3]",0.434879349,0.757661708,0.992855027
"psi[13,30]",0.594462778,0.883318262,0.993815103
"psi[13,31]",0.013779959,0.196768165,0.595456168
"psi[13,32]",0.115683021,0.441553322,0.794788787
"psi[13,33]",0.014120837,0.176615031,0.52781927
"psi[13,34]",0.147402931,0.72852116,0.996945761
"psi[13,35]",0.042542058,0.313595351,0.683263894
"psi[13,36]",0.005482077,0.144572488,0.645483888
"psi[13,37]",0.190542824,0.494012346,0.780831968
"psi[13,38]",0.042462115,0.309106099,0.702473487
"psi[13,39]",0.100109294,0.405121413,0.723417109
"psi[13,4]",0.392846606,0.789808421,0.996540726
"psi[13,40]",0.1274165,0.448837711,0.792119083
"psi[13,41]",0.150658311,0.46739888,0.789752635
"psi[13,42]",0.234203823,0.585610231,0.864459151
"psi[13,43]",0.041281593,0.238584555,0.570571539
"psi[13,44]",0.266737682,0.540697633,0.779836886
"psi[13,45]",0.004232628,0.129692586,0.597514541
"psi[13,46]",0.315897078,0.618632539,0.904457765
"psi[13,47]",0.002690365,0.093681863,0.514082602
"psi[13,48]",0.033193046,0.256179444,0.669178197
"psi[13,49]",0.008256739,0.158106454,0.574094882
"psi[13,5]",0,0.5,0.999485664
"psi[13,50]",0.14857923,0.446826645,0.760897139
"psi[13,6]",0.42562502,0.695688459,0.95879561
"psi[13,7]",0.39843965,0.670927049,0.913121503
"psi[13,8]",0.3357929,0.766121476,0.996816777
"psi[13,9]",0.362743896,0.634035123,0.910161683
"psi[14,1]",0.04503457,0.204883879,0.56331039
"psi[14,10]",0.022336497,0.100437172,0.359823933
"psi[14,11]",0.002410244,0.04204763,0.372598281
"psi[14,12]",0.005319343,0.078207683,0.544518794
"psi[14,13]",0.001976082,0.02848032,0.278811555
"psi[14,14]",0.002105864,0.070139873,0.54116685
"psi[14,15]",0.012689127,0.065662448,0.317262813
"psi[14,16]",0.003015547,0.045281683,0.33865467
"psi[14,17]",0.011164029,0.076904236,0.364052272
"psi[14,18]",0.000234357,0.020004718,0.295313304
"psi[14,19]",0.003285058,0.038584881,0.292940112
"psi[14,2]",0.001319896,0.02785015,0.328275193
"psi[14,20]",0.000415106,0.020449738,0.315080708
"psi[14,21]",0,0.024770519,0.999551536
"psi[14,22]",0.00238486,0.082528622,0.312585721
"psi[14,23]",0.000270101,0.017310655,0.335534967
"psi[14,24]",0.00245437,0.093530995,0.377772533
"psi[14,25]",0.007910839,0.052772989,0.349175678
"psi[14,26]",0.004036005,0.076263412,0.509021072
"psi[14,27]",0,0.178497089,0.982866892
"psi[14,28]",0.020193671,0.098658518,0.338884804
"psi[14,29]",0.000230901,0.022295428,0.289931458
"psi[14,3]",0.001197459,0.030636459,0.393411357
"psi[14,30]",0.007854272,0.082991767,0.542654242
"psi[14,31]",0.017659676,0.191107096,0.774837253
"psi[14,32]",0.003267511,0.102488627,0.623758602
"psi[14,33]",0.000735494,0.08731736,0.687312942
"psi[14,34]",0,0.080935241,0.792665606
"psi[14,35]",0.022715609,0.196792919,0.642703107
"psi[14,36]",0.000785449,0.159246535,0.888818603
"psi[14,37]",0.005890299,0.117574934,0.542999386
"psi[14,38]",0.000233553,0.056966493,0.416389374
"psi[14,39]",0.018288844,0.155383384,0.53777913
"psi[14,4]",0.000217342,0.018776164,0.334764597
"psi[14,40]",0.052285141,0.280388924,0.694433638
"psi[14,41]",0.00647892,0.100984813,0.520147355
"psi[14,42]",0.061138236,0.281008752,0.712510811
"psi[14,43]",0.000768454,0.095079726,0.4810302
"psi[14,44]",0.020171547,0.132485749,0.399579446
"psi[14,45]",0,0.073716817,0.755674988
"psi[14,46]",0.044400756,0.165909465,0.527485273
"psi[14,47]",0.006080636,0.160940339,0.800880948
"psi[14,48]",0.0035892,0.116659334,0.754880308
"psi[14,49]",0.000168841,0.099182158,0.656265022
"psi[14,5]",0.18607491,0.997576471,0.999999992
"psi[14,50]",0.040270742,0.249644561,0.803984279
"psi[14,6]",0.001448689,0.043575728,0.412215491
"psi[14,7]",0.016401271,0.09920116,0.367639198
"psi[14,8]",0.000143563,0.016149627,0.335353294
"psi[14,9]",0.042655477,0.17280604,0.496557837
"psi[15,1]",0.158781373,0.386144211,0.650328279
"psi[15,10]",0.114545283,0.294422528,0.502741197
"psi[15,11]",0.015124773,0.153167143,0.540810856
"psi[15,12]",0.025670275,0.213508862,0.542155087
"psi[15,13]",0.012169735,0.118146466,0.378958139
"psi[15,14]",0.045453507,0.239178207,0.710263309
"psi[15,15]",0.032974035,0.170825642,0.505067155
"psi[15,16]",0.046254653,0.195300096,0.485657917
"psi[15,17]",0.029505239,0.157312966,0.52917713
"psi[15,18]",0.00345668,0.051500345,0.265018195
"psi[15,19]",0.013539435,0.123788456,0.451998646
"psi[15,2]",0.012705717,0.127868289,0.36632793
"psi[15,20]",0.004549187,0.084223814,0.310568313
"psi[15,21]",0,0.001487256,0.411157734
"psi[15,22]",0.044447286,0.206581921,0.558821061
"psi[15,23]",0.003583505,0.078340919,0.357332029
"psi[15,24]",0.16108053,0.406463353,0.650151482
"psi[15,25]",0.031398507,0.165269459,0.436091111
"psi[15,26]",0.028822128,0.180745934,0.47232469
"psi[15,27]",0.000430636,0.210982856,0.90873493
"psi[15,28]",0.06046725,0.205181691,0.457375574
"psi[15,29]",0.003262762,0.082709494,0.323082514
"psi[15,3]",0.015093408,0.122683198,0.421944995
"psi[15,30]",0.04297812,0.244844089,0.586772953
"psi[15,31]",0.173347223,0.535138445,0.851044791
"psi[15,32]",0.181056579,0.432406951,0.717723093
"psi[15,33]",0.132399533,0.43939241,0.782494846
"psi[15,34]",0.002242275,0.256201866,0.830307624
"psi[15,35]",0.1753963,0.47821662,0.724551666
"psi[15,36]",0.127296422,0.523417842,0.907418584
"psi[15,37]",0.084444677,0.31578679,0.681348286
"psi[15,38]",0.084765446,0.280014606,0.640787117
"psi[15,39]",0.152984066,0.398979037,0.650255388
"psi[15,4]",0.002691935,0.064232974,0.328389659
"psi[15,40]",0.254414259,0.564505419,0.774349849
"psi[15,41]",0.18756016,0.3824343,0.669476493
"psi[15,42]",0.279596464,0.571074337,0.777096379
"psi[15,43]",0.134198094,0.348750303,0.658516531
"psi[15,44]",0.120093245,0.286749028,0.487814008
"psi[15,45]",0.104619516,0.426957809,0.818280133
"psi[15,46]",0.125663089,0.322144885,0.607200841
"psi[15,47]",0.09603177,0.50659861,0.895266338
"psi[15,48]",0.15892703,0.453290861,0.792265754
"psi[15,49]",0.16468777,0.480378576,0.79102583
"psi[15,5]",0,0.000862643,0.999747182
"psi[15,50]",0.163991616,0.549680349,0.824246026
"psi[15,6]",0.027164241,0.149406204,0.412110933
"psi[15,7]",0.080168003,0.242352596,0.452654093
"psi[15,8]",0.002607873,0.067999424,0.305764482
"psi[15,9]",0.116129215,0.339156849,0.609964314
"psi[16,1]",0.001397203,0.079383273,0.349353495
"psi[16,10]",0.006497821,0.084147432,0.235110319
"psi[16,11]",0.029531301,0.24941306,0.683125551
"psi[16,12]",0.015135875,0.194007875,0.555473925
"psi[16,13]",0.094339252,0.272889474,0.507368241
"psi[16,14]",0.013625889,0.113697013,0.605223281
"psi[16,15]",0.038598028,0.166982046,0.348799954
"psi[16,16]",0.032123078,0.157934858,0.419147027
"psi[16,17]",0.056701177,0.226554687,0.554317336
"psi[16,18]",0.053123238,0.332518562,0.770269366
"psi[16,19]",0.102470293,0.286976102,0.556321468
"psi[16,2]",0.080119348,0.259089305,0.538291918
"psi[16,20]",0.083631536,0.325639903,0.697352302
"psi[16,21]",0,0.190774278,0.999999593
"psi[16,22]",0.016443339,0.117804667,0.404243574
"psi[16,23]",0.068232434,0.264216793,0.649134809
"psi[16,24]",0.005012574,0.099867585,0.283238477
"psi[16,25]",0.03920104,0.148818053,0.319077986
"psi[16,26]",0.049173636,0.200369796,0.557577335
"psi[16,27]",0,0.067802517,0.706975021
"psi[16,28]",0.017919523,0.172576363,0.365591585
"psi[16,29]",0.062015621,0.362548162,0.773742602
"psi[16,3]",0.093254782,0.232508804,0.445144398
"psi[16,30]",0.018605891,0.173629216,0.536659287
"psi[16,31]",0.000110125,0.014244277,0.178624304
"psi[16,32]",0.003666486,0.094590122,0.369353185
"psi[16,33]",0.001118081,0.038791527,0.226947454
"psi[16,34]",0.000281664,0.088754534,0.552872695
"psi[16,35]",0.000401544,0.023417994,0.205792898
"psi[16,36]",0.000544058,0.042316966,0.354417087
"psi[16,37]",0.001872373,0.062275047,0.226361726
"psi[16,38]",0.006084103,0.128998209,0.573036432
"psi[16,39]",0.000811244,0.042020789,0.200339917
"psi[16,4]",0.093179145,0.377913011,0.753966118
"psi[16,40]",0.000406866,0.028625349,0.239359328
"psi[16,41]",0.004036921,0.077513574,0.264106986
"psi[16,42]",0.000574863,0.036568723,0.262968837
"psi[16,43]",0.003164322,0.07027962,0.332136125
"psi[16,44]",0.003309569,0.078383528,0.253867787
"psi[16,45]",0.000688859,0.063584823,0.43929148
"psi[16,46]",0.001896238,0.076440979,0.297513694
"psi[16,47]",0,0.00775969,0.158430098
"psi[16,48]",0.001285895,0.04926663,0.28717371
"psi[16,49]",0.000342907,0.038954866,0.214738962
"psi[16,5]",0,0.027187162,1
"psi[16,50]",0.000232526,0.021707029,0.304906153
"psi[16,6]",0.021131688,0.148610218,0.359756262
"psi[16,7]",0.008496081,0.134743783,0.320461451
"psi[16,8]",0.081623524,0.383849216,0.803179916
"psi[16,9]",0.001624327,0.078808743,0.302091751
"psi[17,1]",0.480525803,0.781503588,0.973638213
"psi[17,10]",0.387267582,0.698815013,0.914130156
"psi[17,11]",0.176408682,0.610635859,0.94876236
"psi[17,12]",0.283239929,0.64421658,0.895443928
"psi[17,13]",0.237718175,0.494321929,0.770660938
"psi[17,14]",0.14927178,0.611347387,0.947564876
"psi[17,15]",0.352839641,0.618748622,0.899322492
"psi[17,16]",0.181637962,0.543228972,0.797264314
"psi[17,17]",0.355922609,0.631894702,0.871987355
"psi[17,18]",0.128282546,0.422045595,0.787954351
"psi[17,19]",0.295112161,0.540208049,0.791885188
"psi[17,2]",0.227965318,0.489359168,0.768154466
"psi[17,20]",0.139796558,0.440154367,0.779337746
"psi[17,21]",0,0.000859313,0.744483416
"psi[17,22]",0.346027082,0.660558385,0.90931643
"psi[17,23]",0.155136204,0.447595251,0.804775169
"psi[17,24]",0.347921384,0.645716964,0.88335102
"psi[17,25]",0.362135158,0.624482279,0.84138748
"psi[17,26]",0.315613521,0.631027681,0.924901089
"psi[17,27]",0.207676341,0.842070827,0.999905437
"psi[17,28]",0.363872652,0.668997691,0.894815409
"psi[17,29]",0.074250384,0.435696558,0.804852692
"psi[17,3]",0.252277091,0.539010376,0.7910944
"psi[17,30]",0.225198535,0.665993842,0.919202047
"psi[17,31]",0.365308468,0.857927615,0.978900367
"psi[17,32]",0.344378075,0.645767464,0.891388023
"psi[17,33]",0.295571968,0.668025248,0.926179049
"psi[17,34]",0.197534066,0.822984978,0.997971098
"psi[17,35]",0.506969252,0.837606102,0.976265099
"psi[17,36]",0.244710579,0.72577104,0.959567236
"psi[17,37]",0.439102936,0.744507557,0.936105959
"psi[17,38]",0.224181767,0.531898708,0.863815934
"psi[17,39]",0.480293507,0.802445974,0.956477256
"psi[17,4]",0.132214269,0.416545835,0.806345409
"psi[17,40]",0.502834014,0.870004368,0.978896061
"psi[17,41]",0.396900112,0.654881386,0.871798078
"psi[17,42]",0.51588113,0.859510606,0.975499451
"psi[17,43]",0.34979775,0.648025437,0.865404447
"psi[17,44]",0.448678401,0.71985523,0.938633626
"psi[17,45]",0.162218372,0.547883245,0.929939742
"psi[17,46]",0.481548593,0.758312322,0.949951396
"psi[17,47]",0.346415957,0.842721981,0.978840304
"psi[17,48]",0.35412251,0.675984044,0.921706259
"psi[17,49]",0.286367296,0.657125916,0.933741679
"psi[17,5]",0,0.062604512,1
"psi[17,50]",0.489796913,0.859872714,0.980079803
"psi[17,6]",0.260461705,0.597326674,0.807469412
"psi[17,7]",0.450937301,0.684498144,0.886082098
"psi[17,8]",0.086930536,0.402392316,0.795528088
"psi[17,9]",0.461078179,0.762462505,0.956822401
"psi[18,1]",0.001850749,0.058072899,0.319327964
"psi[18,10]",0.007023774,0.052203751,0.197901632
"psi[18,11]",0.002040888,0.056262128,0.556477311
"psi[18,12]",0.000634757,0.018979318,0.142210783
"psi[18,13]",0.001105103,0.020630162,0.139080912
"psi[18,14]",0.000595912,0.016010247,0.159174037
"psi[18,15]",0.006114694,0.047981755,0.191028335
"psi[18,16]",0.002831396,0.038646216,0.189737666
"psi[18,17]",0.001608017,0.032576345,0.160799464
"psi[18,18]",0.000180071,0.01269792,0.135868618
"psi[18,19]",0.000730923,0.019597769,0.123664251
"psi[18,2]",0.001598937,0.023941553,0.132814863
"psi[18,20]",0.00031705,0.011897544,0.158226025
"psi[18,21]",0,0.010790439,0.99013779
"psi[18,22]",0.020592816,0.131338474,0.484493639
"psi[18,23]",0.000478315,0.013206445,0.15364279
"psi[18,24]",0.033952824,0.133719358,0.324793855
"psi[18,25]",0.002763603,0.030523734,0.124797455
"psi[18,26]",0.000454547,0.016548655,0.14016698
"psi[18,27]",0,0.034697176,0.650136616
"psi[18,28]",0.002465118,0.04375276,0.183131873
"psi[18,29]",0.000547276,0.025029351,0.217587802
"psi[18,3]",0.000375799,0.012063916,0.105379474
"psi[18,30]",0.000474272,0.020237658,0.147560512
"psi[18,31]",0.053559204,0.24834357,0.720215663
"psi[18,32]",0.023489086,0.175374069,0.642044191
"psi[18,33]",0.044602599,0.252497212,0.869193755
"psi[18,34]",0.008225402,0.307456754,0.99348255
"psi[18,35]",0.024121965,0.171868982,0.581683202
"psi[18,36]",0.033498649,0.448953583,0.963511892
"psi[18,37]",0.011966183,0.09598795,0.303433362
"psi[18,38]",0.033697606,0.209059254,0.809161115
"psi[18,39]",0.023141334,0.135971254,0.389461323
"psi[18,4]",0,0.007200127,0.145278706
"psi[18,40]",0.02173113,0.138643537,0.501699046
"psi[18,41]",0.017123459,0.129108727,0.352834825
"psi[18,42]",0.018717823,0.118441162,0.44098736
"psi[18,43]",0.080054769,0.225993698,0.732631731
"psi[18,44]",0.015885207,0.095248,0.286593384
"psi[18,45]",0.08134529,0.457866507,0.979381113
"psi[18,46]",0.007275135,0.076693783,0.308997903
"psi[18,47]",0.040746315,0.301418854,0.807632176
"psi[18,48]",0.028314395,0.259574142,0.734801057
"psi[18,49]",0.081612134,0.363416801,0.917934833
"psi[18,5]",0,0.001047075,0.999999984
"psi[18,50]",0.012394349,0.106865218,0.448057751
"psi[18,6]",0.002779111,0.035842063,0.165625288
"psi[18,7]",0.006922588,0.05836762,0.192880168
"psi[18,8]",0.000118068,0.009077144,0.173465192
"psi[18,9]",0.005226042,0.076406213,0.306313928
"psi[19,1]",0.001878686,0.043879791,0.309155844
"psi[19,10]",0.006135771,0.064976223,0.287933623
"psi[19,11]",0.034013489,0.345452176,0.915362309
"psi[19,12]",0.063851704,0.294204491,0.836650084
"psi[19,13]",0.107403635,0.318758941,0.70985855
"psi[19,14]",0.025008077,0.224383105,0.846300134
"psi[19,15]",0.004860963,0.095508014,0.312311402
"psi[19,16]",0.053175592,0.209447214,0.547312938
"psi[19,17]",0.02136501,0.145722523,0.50047988
"psi[19,18]",0.097780948,0.471853489,0.94781647
"psi[19,19]",0.099360841,0.279074498,0.675750105
"psi[19,2]",0.08713487,0.29250781,0.72962814
"psi[19,20]",0.144305965,0.501565514,0.922103265
"psi[19,21]",0,0.002898922,0.384375593
"psi[19,22]",0.00144275,0.074528767,0.44221494
"psi[19,23]",0.097923951,0.42725981,0.8887004
"psi[19,24]",0.001356082,0.078110862,0.307996649
"psi[19,25]",0.013749359,0.101330171,0.337742299
"psi[19,26]",0.038004309,0.243414143,0.798106551
"psi[19,27]",0,0.083470241,0.933050547
"psi[19,28]",0.023677807,0.142169676,0.380935666
"psi[19,29]",0.195866546,0.581386946,0.951082992
"psi[19,3]",0.097557782,0.334562368,0.832301796
"psi[19,30]",0.052996443,0.278845814,0.7495383
"psi[19,31]",0,0.004623121,0.133138465
