parameter,lbci,posterior.median,ubci
"psi[91,11]",0.309605677,0.787326899,0.978695536
"psi[91,12]",0.320091756,0.703631181,0.908321234
"psi[91,13]",0.145156068,0.345821911,0.62178395
"psi[91,14]",0.285140041,0.674864469,0.982070242
"psi[91,15]",0.523352478,0.758707919,0.940308853
"psi[91,16]",0.384355352,0.721418384,0.963097738
"psi[91,17]",0.39097566,0.686833769,0.90518504
"psi[91,18]",0.01825189,0.123354747,0.386025019
"psi[91,19]",0.176268894,0.401331185,0.698069941
"psi[91,2]",0.193774994,0.42521961,0.655941747
"psi[91,20]",0.040194895,0.160954467,0.437814156
"psi[91,21]",0.134598807,0.973041942,0.999999389
"psi[91,22]",0.700705678,0.942357627,0.995150759
"psi[91,23]",0.036354997,0.184600247,0.508712003
"psi[91,24]",0.782741543,0.959166256,0.997755334
"psi[91,25]",0.482158682,0.695391769,0.901921142
"psi[91,26]",0.213014849,0.585533042,0.888059448
"psi[91,27]",0.321110419,0.956885956,0.999963696
"psi[91,28]",0.594785619,0.832594861,0.964108996
"psi[91,29]",0.02175568,0.20370881,0.60634975
"psi[91,3]",0.157239528,0.381278582,0.66754547
"psi[91,30]",0.38991343,0.765003882,0.959977241
"psi[91,31]",0.905719477,0.995609569,0.999939975
"psi[91,32]",0.849028098,0.986066359,0.999628877
"psi[91,33]",0.846019833,0.991634005,0.999818424
"psi[91,34]",0.75602258,0.991127834,0.999950012
"psi[91,35]",0.877448725,0.992241682,0.999823845
"psi[91,36]",0.919496294,0.998317884,0.999986581
"psi[91,37]",0.731063054,0.956225471,0.996530722
"psi[91,38]",0.688632756,0.9559327,0.997653066
"psi[91,39]",0.832392341,0.982889837,0.999104449
"psi[91,4]",0.015056678,0.083278489,0.310227079
"psi[91,40]",0.902385353,0.994120285,0.999899985
"psi[91,41]",0.816733589,0.977717905,0.999242353
"psi[91,42]",0.906869568,0.993020037,0.999875118
"psi[91,43]",0.848369829,0.980458896,0.998903052
"psi[91,44]",0.830047077,0.958207812,0.994459572
"psi[91,45]",0.832987134,0.991214073,0.999818613
"psi[91,46]",0.828147102,0.963084971,0.997825875
"psi[91,47]",0.902975719,0.995441504,0.999973313
"psi[91,48]",0.865582873,0.993532177,0.999878724
"psi[91,49]",0.914484034,0.992939435,0.99976472
"psi[91,5]",0.677412934,0.999852147,1
"psi[91,50]",0.850048569,0.991136945,0.999871538
"psi[91,6]",0.432315659,0.711817521,0.927008456
"psi[91,7]",0.699005339,0.898111212,0.978557039
"psi[91,8]",0.013211944,0.087064921,0.314689829
"psi[91,9]",0.830199629,0.963036339,0.99769113
"psi[92,1]",0.697577278,0.876044988,0.972314479
"psi[92,10]",0.585072499,0.774778625,0.922932553
"psi[92,11]",0.238039831,0.754401328,0.971849127
"psi[92,12]",0.660650089,0.868986967,0.979127244
"psi[92,13]",0.269613387,0.533642375,0.73904012
"psi[92,14]",0.456180234,0.739556297,0.964383851
"psi[92,15]",0.379460005,0.595166498,0.855980958
"psi[92,16]",0.352089932,0.604180861,0.823104453
"psi[92,17]",0.466169952,0.683295124,0.899634175
"psi[92,18]",0.155656401,0.43887126,0.746660686
"psi[92,19]",0.319540448,0.590378733,0.764896638
"psi[92,2]",0.300171153,0.555368144,0.827917239
"psi[92,20]",0.219470192,0.504424076,0.737716276
"psi[92,21]",0.058246952,0.951651392,0.999999206
"psi[92,22]",0.264655588,0.624119409,0.897138146
"psi[92,23]",0.217218998,0.516260892,0.777887899
"psi[92,24]",0.35639218,0.609730814,0.846746083
"psi[92,25]",0.413251077,0.597725708,0.796955374
"psi[92,26]",0.547174084,0.775773492,0.943271107
"psi[92,27]",0.385248908,0.962180702,0.999891858
"psi[92,28]",0.625372074,0.806881706,0.949721112
"psi[92,29]",0.226632796,0.565900099,0.885381813
"psi[92,3]",0.300628668,0.589050777,0.791761544
"psi[92,30]",0.676956918,0.876767856,0.978827597
"psi[92,31]",0.27310772,0.627991855,0.844290115
"psi[92,32]",0.180132921,0.462403344,0.861729692
"psi[92,33]",0.06374999,0.324181224,0.814117081
"psi[92,34]",0.269546054,0.835221086,0.996459711
"psi[92,35]",0.391889756,0.68821771,0.895261946
"psi[92,36]",0.059186849,0.39409433,0.93223533
"psi[92,37]",0.339341086,0.717979701,0.904630425
"psi[92,38]",0.05807078,0.337523568,0.8507346
"psi[92,39]",0.430825773,0.716659542,0.889361662
"psi[92,4]",0.213742197,0.514445828,0.76651946
"psi[92,40]",0.59781589,0.816467956,0.933737907
"psi[92,41]",0.202835914,0.485574626,0.846801932
"psi[92,42]",0.65659342,0.857301336,0.950057044
"psi[92,43]",0.210372843,0.435622681,0.723441594
"psi[92,44]",0.474027268,0.741222542,0.932585803
"psi[92,45]",0.06775657,0.330675274,0.8611752
"psi[92,46]",0.546315688,0.8001018,0.959583819
"psi[92,47]",0.096829111,0.454713662,0.775164577
"psi[92,48]",0.119116532,0.415371221,0.843460317
"psi[92,49]",0.151942717,0.419605077,0.804931654
"psi[92,5]",0.311708937,0.996864058,1
"psi[92,50]",0.420002417,0.779474747,0.942944504
"psi[92,6]",0.441778395,0.686855051,0.892048212
"psi[92,7]",0.573684629,0.780090099,0.934790513
"psi[92,8]",0.172049684,0.490795499,0.753479153
"psi[92,9]",0.580091427,0.819258647,0.963423058
"psi[93,1]",0.032265105,0.223877766,0.507014352
"psi[93,10]",0.067891898,0.246470886,0.469624876
"psi[93,11]",0.123687566,0.591754553,0.924929183
"psi[93,12]",0.034623895,0.31798337,0.653311377
"psi[93,13]",0.097241273,0.296006681,0.563325442
"psi[93,14]",0.013555039,0.201124571,0.453107175
"psi[93,15]",0.058511399,0.270080827,0.681716672
"psi[93,16]",0.076404514,0.311943006,0.574508326
"psi[93,17]",0.041288142,0.295629146,0.696669482
"psi[93,18]",0.044054661,0.289165226,0.694422734
"psi[93,19]",0.06467233,0.312946689,0.56807687
"psi[93,2]",0.106100515,0.313812335,0.600568628
"psi[93,20]",0.073758861,0.301458319,0.658589391
"psi[93,21]",0,0.002434983,0.440556105
"psi[93,22]",0.156689257,0.465225676,0.809043138
"psi[93,23]",0.082995062,0.331941187,0.720679794
"psi[93,24]",0.086364284,0.328867926,0.625211729
"psi[93,25]",0.058883387,0.273473485,0.551768631
"psi[93,26]",0.026660593,0.221756042,0.473743678
"psi[93,27]",0,0.117331073,0.863763689
"psi[93,28]",0.076549103,0.28177854,0.549155186
"psi[93,29]",0.06377602,0.410215384,0.800187051
"psi[93,3]",0.063800692,0.277885496,0.523207681
"psi[93,30]",0.029267252,0.287440363,0.599549847
"psi[93,31]",0.036034182,0.200978995,0.584040213
"psi[93,32]",0.060286331,0.297650252,0.952865772
"psi[93,33]",0.034935012,0.237744082,0.973450008
"psi[93,34]",0.183628044,0.673828627,0.998584905
"psi[93,35]",0.06115424,0.257125595,0.641415207
"psi[93,36]",0.021327811,0.29826603,0.997862168
"psi[93,37]",0.106673648,0.341345456,0.691426052
"psi[93,38]",0.066181322,0.315633109,0.956681981
"psi[93,39]",0.080310257,0.296467679,0.572169833
"psi[93,4]",0.049492686,0.297352679,0.690213006
"psi[93,40]",0.036102384,0.219742777,0.546360364
"psi[93,41]",0.058190107,0.260115036,0.883883119
"psi[93,42]",0.035721996,0.223539064,0.524063942
"psi[93,43]",0.077464089,0.335981213,0.804455854
"psi[93,44]",0.073078163,0.285258068,0.658152586
"psi[93,45]",0.035394019,0.404676883,0.949136015
"psi[93,46]",0.046422444,0.241208344,0.543252409
"psi[93,47]",0.03120193,0.193356993,0.681580232
"psi[93,48]",0.044282355,0.269919033,0.985239623
