OID_,Grid_ID,Grid_E_NAD83,Grid_N_NAD83,UTM_Zone,Grid_Lat_NAD83,Grid_Long_NAD83,BCR,MgmtEntity,MgmtRegion,MgmtUnit,MgmtDistrict,County,State,PriorityLandscape,inPL
34,NM-CARSON-MH12,467500,4027500,13,36.39209564,-105.3624015,16,US Forest Service,USFS Region 3,Carson National Forest,Camino Real Ranger District,Taos,NM,Enchanted Circle,1
35,NM-CARSON-MH13,383500,4051500,13,36.60189112,-106.3025487,16,US Forest Service,USFS Region 3,Carson National Forest,El Rito Ranger District,Rio Arriba,NM,Enchanted Circle,0
36,NM-CARSON-MH14,479500,4074500,13,36.81612973,-105.2298466,16,US Forest Service,USFS Region 3,Carson National Forest,Questa Ranger District,Taos,NM,Enchanted Circle,1
37,NM-CARSON-MH15,380500,4035500,13,36.45731678,-106.3336043,16,US Forest Service,USFS Region 3,Carson National Forest,Canjilon Ranger District,Rio Arriba,NM,Enchanted Circle,0
38,NM-CARSON-MH16,471500,4021500,13,36.33813112,-105.317579,16,US Forest Service,USFS Region 3,Carson National Forest,Camino Real Ranger District,Taos,NM,Enchanted Circle,1
39,NM-CARSON-MH17,376500,4047500,13,36.56496037,-106.3801514,16,US Forest Service,USFS Region 3,Carson National Forest,Canjilon Ranger District,Rio Arriba,NM,Enchanted Circle,0
40,NM-CARSON-MH18,386500,4088500,13,36.93571747,-106.2745223,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
41,NM-CARSON-MH19,466500,4063500,13,36.71659818,-105.3751174,16,US Forest Service,USFS Region 3,Carson National Forest,Questa Ranger District,Taos,NM,Enchanted Circle,1
42,NM-CARSON-MH2,392500,4087500,13,36.92740879,-106.2070185,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
43,NM-CARSON-MH20,440500,3992500,13,36.07527817,-105.660799,16,US Forest Service,USFS Region 3,Carson National Forest,Camino Real Ranger District,Rio Arriba,NM,Enchanted Circle,1
44,NM-CARSON-MH21,394500,4055500,13,36.63922414,-106.1801356,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
45,NM-CARSON-MH4,454500,3992500,13,36.07603452,-105.5053232,16,US Forest Service,USFS Region 3,Carson National Forest,Camino Real Ranger District,Taos,NM,Enchanted Circle,1
46,NM-CARSON-MH5,396500,4065500,13,36.72957426,-106.1591194,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
47,NM-CARSON-MH6,380500,4083500,13,36.88991502,-106.3410923,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
48,NM-CARSON-MH7,470500,4070500,13,36.77983353,-105.3305986,16,US Forest Service,USFS Region 3,Carson National Forest,Questa Ranger District,Taos,NM,Enchanted Circle,1
49,NM-CARSON-MH8,454500,4003500,13,36.17520395,-105.5059592,16,US Forest Service,USFS Region 3,Carson National Forest,Camino Real Ranger District,Taos,NM,Enchanted Circle,1
50,NM-CARSON-MH9,390500,4066500,13,36.73791371,-106.2264445,16,US Forest Service,USFS Region 3,Carson National Forest,Tres Piedras Ranger District,Rio Arriba,NM,Enchanted Circle,0
